normal,predict
[1516641845248.0],[1837921599488.0]
[12988431360.0],[7155648000.0]
[1115492.5],[862321.25]
[343.5999450683594],[451.98193359375]
[1542278.875],[2693260.25]
[176170.3125],[114823.3046875]
[321.99993896484375],[136.06687927246094]
[17272344576.0],[41613746176.0]
[927817.25],[48616.46484375]
[927817.25],[54613.54296875]
[47166.328125],[4019.918701171875]
[25580102.0],[16632025.0]
[61332468.0],[41174552.0]
[1859570.0],[112359.453125]
[12988158976.0],[2885281792.0]
[11.600001335144043],[0.9968418478965759]
[14009.4345703125],[2336.512939453125]
[800952512.0],[254336288.0]
[353111.4375],[302155.25]
[4755245498368.0],[6065670848512.0]
[475.3999328613281],[431.87664794921875]
[70905360.0],[12519097.0]
[14009.4345703125],[3300.094970703125]
[800952512.0],[63541460.0]
[353111.4375],[684972.375]
[4755245498368.0],[2879612518400.0]
[475.3999328613281],[556.1246337890625]
[70905360.0],[53241056.0]
[1514258.375],[521638.0]
[6841394176.0],[7743182848.0]
[330825.03125],[171278.703125]
[27.400001525878906],[22.032751083374023]
[343.5999450683594],[97.1768798828125]
[24183258.0],[15521687.0]
[155292.671875],[95822.703125]
[1.3695846689066189e+17],[6.214005069499597e+16]
[221168.828125],[3.727168321609497]
[11.600001335144043],[10.717456817626953]
[927817.25],[4.223174095153809]
[1181329.5],[1203544.0]
[27.400001525878906],[0.9326242208480835]
[209214.203125],[4.026337623596191]
[343.5999450683594],[489.6275634765625]
[3.133934556676096e+17],[1.947880643555754e+18]
[13144.1640625],[1215.329833984375]
[14630.80078125],[15005.0673828125]
[11.600001335144043],[11.063416481018066]
[278495.71875],[14103.607421875]
[13144.1640625],[0.058010902255773544]
[927817.25],[34436.0546875]
[1141407.75],[5954.28759765625]
[321.99993896484375],[21.91700553894043]
[209214.203125],[259596.21875]
[1141854.25],[307974.3125]
[827258765312.0],[1396167671808.0]
[2036322.75],[87037.21875]
[358415.0],[883117.5625]
[27.400001525878906],[10.32619571685791]
[12.399998664855957],[0.2782059609889984]
[343.5999450683594],[120.90583038330078]
[4403693568.0],[1332184704.0]
[5.967679513975983e+23],[2.3142128590491695e+23]
[2.2536425951734006e+19],[2.2625147744002507e+19]
[25.39000129699707],[3.0269083976745605]
[13144.1640625],[1076.0625]
[257056571392.0],[34226944000.0]
[26361.900390625],[54556.95703125]
[212.0000457763672],[156.30836486816406]
[827255619584.0],[570362560512.0]
[11954.5517578125],[25607.572265625]
[6293458432.0],[2730297344.0]
[296659840.0],[369246304.0]
[16217752469504.0],[16374468444160.0]
[188627.34375],[194729.9375]
[9.366468285514939e+21],[9.537947063451721e+20]
[150.8000030517578],[231.6236114501953]
[0.050048828125],[0.07122388482093811]
[4661.27099609375],[5893.8876953125]
[209214.203125],[311716.34375]
[51062352.0],[82236288.0]
[12.0],[10.048698425292969]
[11.600001335144043],[8.895800590515137]
[3.7113721374956924e+23],[1.8892244472304683e+24]
[6471940046848.0],[4322167095296.0]
[1.0],[0.032905250787734985]
[391702728671232.0],[840707501719552.0]
[321.99993896484375],[143.69744873046875]
[0.12999998033046722],[0.24172541499137878]
[11954.5517578125],[7335.0830078125]
[224818.90625],[381800.5]
[3999.99853515625],[7453.7705078125]
[3714.6591796875],[5391.28369140625]
[456450.5625],[663782.75]
[188885.3125],[390623.21875]
[34254.43359375],[19680.62890625]
[7828676096.0],[10667580416.0]
[1.821297889939292e+17],[2.1813137310010573e+17]
[188627.34375],[138968.671875]
[13144.1640625],[6597.4931640625]
[0.019999999552965164],[0.16219523549079895]
[2149.730224609375],[2139.56396484375]
[827255619584.0],[485784485888.0]
[1.600000023841858],[2.435426712036133]
[19651288.0],[7406222.0]
[26361.900390625],[41776.41015625]
[321.99993896484375],[141.1224365234375]
[64.0],[75.50365447998047]
[1.600000023841858],[1.439656376838684]
[209214.203125],[232635.09375]
[64.0],[27.29638671875]
[162722.046875],[249095.9375]
[19328542720.0],[3791886336.0]
[4613339.0],[1214122.25]
[26361.900390625],[30766.4140625]
[983703232.0],[600353920.0]
[550.39990234375],[666.8056640625]
[321.99993896484375],[157.10110473632812]
[0.4000000059604645],[0.6897971630096436]
[3927874.5],[3119374.75]
[64.0],[95.0850601196289]
[25.000001907348633],[28.099084854125977]
[0.009999999776482582],[0.032762520015239716]
[0.029999999329447746],[0.9646502137184143]
[24.889999389648438],[13.876745223999023]
[159394.171875],[108648.671875]
[22631268.0],[24874366.0]
[332861.5],[422439.34375]
[13995.8271484375],[2237.127197265625]
[68.1100082397461],[100.79840087890625]
[20334.0],[94565.0]
[5943464448.0],[11440975872.0]
[394.5600280761719],[390.534912109375]
[209214.203125],[197456.296875]
[11954.5517578125],[10161.2373046875]
[13144.1640625],[18732.951171875]
[1958816337887232.0],[233983845597184.0]
[6399998.0],[2377201.75]
[18300489728.0],[3923522816.0]
[3.0399999618530273],[1.1933432817459106]
[25.000001907348633],[27.944854736328125]
[954179.5625],[986265.1875]
[9837033291776.0],[785536843776.0]
[17272344576.0],[23592873984.0]
[12.800000190734863],[17.39072036743164]
[6455939584.0],[4127752192.0]
[662.0400390625],[1186.19384765625]
[0.4000000059604645],[0.33586835861206055]
[0.4000000059604645],[0.3719966411590576]
[26351.494140625],[25786.689453125]
[11.600001335144043],[9.43954086303711]
[0.4000000059604645],[0.8240019679069519]
[8341896560640.0],[5446822789120.0]
[58826.3203125],[77226.6171875]
[4211104838320128.0],[1140190202560512.0]
[17904548.0],[32800176.0]
[17272344576.0],[4094762752.0]
[257056571392.0],[65797345280.0]
[2631938816.0],[825676416.0]
[175723.296875],[214946.171875]
[26361.900390625],[110135.90625]
[3.200000047683716],[7.72035026550293]
[13995.8271484375],[1379.6934814453125]
[453504.84375],[412728.71875]
[0.4000000059604645],[0.3756136894226074]
[827255619584.0],[2359249338368.0]
[15712592.0],[14655946.0]
[104.25000762939453],[82.59833526611328]
[3714.669921875],[3328.218017578125]
[13144.1640625],[7192.2353515625]
[159038.109375],[168153.703125]
[0.009999999776482582],[0.16620704531669617]
[704518.625],[384792.4375]
[11.600001335144043],[8.187439918518066]
[657116224.0],[2076993792.0]
[25.000001907348633],[36.80494689941406]
[3927874.5],[3161042.75]
[1.9568188759436427e+19],[4.65786275801491e+18]
[216.1000518798828],[101.82257843017578]
[26361.900390625],[104173.390625]
[175723.296875],[222105.828125]
[7.500000476837158],[5.609782695770264]
[0.009999999776482582],[0.013915769755840302]
[13144.1640625],[5944.3701171875]
[3714.6591796875],[5290.65380859375]
[25.000001907348633],[24.348657608032227]
[6930532864.0],[9443365888.0]
[2025.1702880859375],[9899.9404296875]
[13.800000190734863],[16.80191993713379]
[2105552273408.0],[1648177971200.0]
[188627.34375],[218829.703125]
[0.4000000059604645],[2.629857301712036]
[662.0400390625],[1671.4866943359375]
[162722.046875],[74889.5859375]
[0.12999998033046722],[0.17796149849891663]
[950954754048.0],[245507424256.0]
[3944246784.0],[2390842368.0]
[0.08999999612569809],[1.0153985023498535]
[2.7753140216397824e+16],[2899850249109504.0]
[391702728671232.0],[178710401515520.0]
[209214.203125],[103569.328125]
[0.4000000059604645],[1.0305311679840088]
[175723.296875],[125900.9609375]
[315118.09375],[341934.15625]
[11954.5517578125],[16669.37890625]
[662.0400390625],[1130.608642578125]
[172691.203125],[87681.0546875]
[14283.03515625],[2195.548583984375]
[33432.0],[23588.078125]
[11954.5517578125],[69261.3515625]
[1.0],[96.17475128173828]
[29666.0078125],[35255.640625]
[1.0],[1825.4451904296875]
[927817.25],[337769.75]
[11.600001335144043],[10.10937213897705]
[550.4098510742188],[496.51300048828125]
[40209620.0],[30688512.0]
[12.729998588562012],[22.78104019165039]
[3714.669921875],[10273.125]
[342.0],[210.45689392089844]
[550.4098510742188],[689.658935546875]
[370953184.0],[411423072.0]
[13995.8271484375],[3058.822998046875]
[2106.150146484375],[2389.06640625]
[15730014.0],[2587251.25]
[0.4000000059604645],[0.547792911529541]
[20334.0],[23908.705078125]
[0.4000000059604645],[0.3668421506881714]
[1.055675250057943e+31],[2.5092284484205575e+30]
[24.889999389648438],[16.08732795715332]
[26361.900390625],[42194.2265625]
[147220.796875],[206346.359375]
[0.009999999776482582],[0.17687714099884033]
[4932664832.0],[16073392128.0]
[3.200000047683716],[4.808340072631836]
[11954.5517578125],[10023.890625]
[126057889792.0],[89267290112.0]
[22504202.0],[20924554.0]
[100.00000762939453],[63.6922721862793]
[9443575448207360.0],[5642954056138752.0]
[0.4000000059604645],[0.5808417797088623]
[26361.900390625],[96969.1484375]
[0.4000000059604645],[0.9139718413352966]
[662.0400390625],[820.1262817382812]
[26361.900390625],[48466.3359375]
[39170269184.0],[18144884736.0]
[88064.7890625],[366124.625]
[270.48004150390625],[260.005615234375]
[453504.84375],[594798.8125]
[13144.1640625],[5091.16064453125]
[3714.301513671875],[15929.4716796875]
[155292.671875],[227785.71875]
[876500156416.0],[49529556992.0]
[1.0],[428.6490173339844]
[13.800000190734863],[11.272112846374512]
[927817.25],[1468962.0]
[3714.6591796875],[7613.29736328125]
[13.800000190734863],[11.851035118103027]
[1.600000023841858],[2.2174465656280518]
[2.0],[3.737856388092041]
[39170269184.0],[60077031424.0]
[12.209999084472656],[13.454206466674805]
[17909604.0],[20295594.0]
[0.4000000059604645],[1.6009289026260376]
[453504.84375],[283860.21875]
[270.48004150390625],[333.5403747558594]
[417.6200866699219],[418.0458679199219]
[662.0400390625],[1225.440185546875]
[5731142074368.0],[26507357454336.0]
[293921.84375],[247502.765625]
[954179.5625],[933677.375]
[155292.671875],[96862.3046875]
[25.000001907348633],[34.291786193847656]
[323.8699645996094],[3137.77001953125]
[0.4000000059604645],[1.0662312507629395]
[167.7799835205078],[104.50747680664062]
[227180.671875],[242630.46875]
[2.0],[4.60211181640625]
[37018400.0],[30536702.0]
[927817.25],[700315.8125]
[827255619584.0],[11717090213888.0]
[49279540396032.0],[31338086268928.0]
[2.7753140216397824e+16],[4221301895987200.0]
[0.12999998033046722],[0.21322645246982574]
[662.0400390625],[602.70751953125]
[30.729997634887695],[28.36582374572754]
[0.009999999776482582],[0.2251403033733368]
[1.0],[0.8933623433113098]
[35350908.0],[96813416.0]
[1.0],[0.10498765856027603]
[13995.8134765625],[2216.423095703125]
[3934876672.0],[1619191168.0]
[99.7099838256836],[91.18164825439453]
[25.000001907348633],[53.920406341552734]
[662.0400390625],[1266.36474609375]
[33432.0],[38730.23828125]
[954179.5625],[626768.4375]
[11954.5517578125],[31503.830078125]
[7609582080.0],[11746676736.0]
[3999.99853515625],[4909.04931640625]
[662.0400390625],[832.7566528320312]
[0.6800000071525574],[0.6852497458457947]
[11.600001335144043],[10.08088493347168]
[454601.21875],[513885.34375]
[3927874.5],[7946883.5]
[0.4000000059604645],[0.7985056638717651]
[2932.290283203125],[2839.093505859375]
[1308526613889024.0],[719344879271936.0]
[12.0],[7.390506267547607]
[22456264.0],[15459493.0]
[128169.6796875],[22053.16015625]
[0.009999999776482582],[0.0016249427571892738]
[13806.201171875],[7815.1953125]
[1.6651885418328883e+17],[2.891371433911386e+18]
[0.12999998033046722],[0.1621229648590088]
[3927874.5],[3888264.0]
[0.4000000059604645],[1.0305562019348145]
[2932.290283203125],[2987.982421875]
[1308526613889024.0],[289356141035520.0]
[12.0],[8.331523895263672]
[22456264.0],[27118080.0]
[128169.6796875],[21838.552734375]
[0.009999999776482582],[0.009105077013373375]
[13806.201171875],[10778.1728515625]
[1.6651885418328883e+17],[6.413613502782505e+18]
[0.12999998033046722],[0.4464503526687622]
[4.0],[6.160983085632324]
[25.000001907348633],[30.904624938964844]
[343.5999450683594],[302.208251953125]
[229318.0],[225346.75]
[3714.669921875],[19202.373046875]
[1.9600000381469727],[1.993032455444336]
[209214.203125],[98572.3046875]
[3206400.25],[3046922.75]
[3714.6591796875],[9653.54296875]
[37146632.0],[19073658.0]
[49185168556032.0],[233389261062144.0]
[118.55000305175781],[72.67478942871094]
[64.0],[93.74160766601562]
[9837033291776.0],[20669639163904.0]
[0.4000000059604645],[0.8984788060188293]
[0.009999999776482582],[0.019889160990715027]
[185888752.0],[261210320.0]
[22534784.0],[32955634.0]
[11.600001335144043],[8.246390342712402]
[459.4999694824219],[412.1935119628906]
[12.209999084472656],[16.329545974731445]
[1958771509166080.0],[126321640341504.0]
[12.399998664855957],[15.337373733520508]
[499.2800598144531],[454.0173645019531]
[321.99993896484375],[144.78567504882812]
[0.11999999731779099],[4.22075080871582]
[3714.669921875],[4627.51123046875]
[9264.4765625],[16455.986328125]
[13168.6181640625],[4557.44580078125]
[321.99993896484375],[204.09701538085938]
[6455939584.0],[7919673856.0]
[2.2395448769843823e+19],[1.941767496344273e+18]
[0.009999999776482582],[0.012926122173666954]
[0.11999999731779099],[0.10648005455732346]
[3714.669921875],[6101.0322265625]
[64.0],[88.42256164550781]
[26361.900390625],[98477.6875]
[209214.203125],[134881.625]
[346.9999694824219],[207.35723876953125]
[257056571392.0],[1414728384512.0]
[967437.25],[1308626.75]
[576.0],[500.4940490722656]
[6455939584.0],[2907672832.0]
[2.2395448769843823e+19],[3.1865461056018055e+19]
[0.009999999776482582],[0.007043135352432728]
[0.11999999731779099],[0.1641698032617569]
[3714.669921875],[6721.15283203125]
[64.0],[99.97425842285156]
[26361.900390625],[57178.52734375]
[209214.203125],[147022.265625]
[346.9999694824219],[125.22557830810547]
[257056571392.0],[45130043392.0]
[967437.25],[782484.625]
[576.0],[320.93109130859375]
[576.0],[728.115966796875]
[983703232.0],[1095363456.0]
[3927874.5],[11922247.0]
[26361.900390625],[95434.2890625]
[22490728.0],[14481525.0]
[3714.669921875],[5352.375]
[453504.84375],[523200.40625]
[13.800000190734863],[13.395370483398438]
[341418.34375],[905471.6875]
[11.600001335144043],[7.988558292388916]
[13168.6181640625],[7521.19921875]
[6.807250863233434e+16],[5.503266579913114e+16]
[26361.900390625],[20100.072265625]
[188885.3125],[147754.859375]
[1115083.0],[367201.625]
[0.07000000029802322],[3.385589599609375]
[0.009999999776482582],[0.19914990663528442]
[25.000001907348633],[58.46323013305664]
[2526662623232.0],[1399385620480.0]
[0.009999999776482582],[0.28332778811454773]
[1024.0],[652.2377319335938]
[6.807250863233434e+16],[1.5982226143444992e+17]
[26361.900390625],[38201.19140625]
[188885.3125],[258936.296875]
[1115083.0],[941890.9375]
[0.07000000029802322],[4.286024570465088]
[0.009999999776482582],[0.0890272706747055]
[25.000001907348633],[52.55919647216797]
[2526662623232.0],[1904418750464.0]
[0.009999999776482582],[0.202090322971344]
[1024.0],[1678.987548828125]
[0.3700000047683716],[1.4935386180877686]
[188627.34375],[205864.59375]
[983703232.0],[1566798720.0]
[49186670116864.0],[3819227578368.0]
[257064419328.0],[460558303232.0]
[174.99998474121094],[162.0972900390625]
[550.4098510742188],[439.4402160644531]
[16114.4453125],[10712.4453125]
[29717.31640625],[25297.869140625]
[71126552.0],[58941136.0]
[11954.5517578125],[13394.1845703125]
[5943464448.0],[6495104512.0]
[64.0],[83.34434509277344]
[4951.998046875],[6874.3359375]
[22642710.0],[7901940.5]
[2631938816.0],[4293059328.0]
[13168.6181640625],[18381.4375]
[1377.58984375],[1184.2847900390625]
[26361.900390625],[19069.5546875]
[2.0],[1.0815600156784058]
[185091.90625],[151002.9375]
[0.4000000059604645],[0.4010779559612274]
[6.807250863233434e+16],[4217825119961088.0]
[0.4000000059604645],[0.6745946407318115]
[13998.029296875],[17122.9453125]
[3.255096246288129e+23],[9.455504675328035e+22]
[662.0400390625],[1323.3018798828125]
[1.4232730271219712e+16],[2916146160336896.0]
[662.0400390625],[696.3657836914062]
[5943464448.0],[7599921664.0]
[3944246784.0],[6265073664.0]
[333798.3125],[409127.25]
[37146.6484375],[24287.8515625]
[3927874.5],[6349284.5]
[64.0],[104.89855194091797]
[0.29999998211860657],[1.6892304420471191]
[3927874.5],[4024401.25]
[1314740.0],[2325584.5]
[1256528.5],[242405.890625]
[504231100416.0],[1064182218752.0]
[0.010009764693677425],[0.010659562423825264]
[1480.000244140625],[2793.1640625]
[1.0],[1.0192991495132446]
[209214.203125],[175466.078125]
[14133.6865234375],[30098.341796875]
[52291012.0],[27905406.0]
[209214.203125],[213499.140625]
[0.09999999403953552],[0.3686412274837494]
[5943464448.0],[28891492352.0]
[0.6600000262260437],[1.6137844324111938]
[32000.00390625],[15705.70703125]
[11.600001335144043],[16.66857147216797]
[11.600001335144043],[13.18971061706543]
[2631938816.0],[2804844288.0]
[64.0],[88.69239807128906]
[11.600001335144043],[15.399993896484375]
[339009855291392.0],[26885580914688.0]
[12.0],[9.557075500488281]
[6.841327563256627e+16],[1.008367095995433e+17]
[983703232.0],[4066137600.0]
[26361.900390625],[157610.515625]
[14.980001449584961],[21.66431999206543]
[3714.6591796875],[3452.053955078125]
[4119478016.0],[2431774208.0]
[0.050048828125],[0.04503149911761284]
[233301.84375],[223477.109375]
[126057889792.0],[261044862976.0]
[6.80745831015383e+16],[4.590650024525824e+16]
[13168.6181640625],[7188.55322265625]
[1.600000023841858],[1.0076656341552734]
[827255619584.0],[462823194624.0]
[343.5999450683594],[270.89434814453125]
[704518.625],[386929.3125]
[0.12999998033046722],[2.321580171585083]
[59.63999938964844],[65.37581634521484]
[0.4000000059604645],[0.9041089415550232]
[155292.671875],[82920.125]
[5335832576.0],[6999680512.0]
[26361.900390625],[27106.55859375]
[1.4066123097456066e+33],[2.4919819126779352e+30]
[1634.350341796875],[8725.7587890625]
[31928.001953125],[49491.6328125]
[3927874.5],[1238882.5]
[11954.5517578125],[68070.078125]
[18.760000228881836],[25.678728103637695]
[26361.900390625],[34967.87109375]
[23600624.0],[8693428.0]
[1.0],[2659.516357421875]
[13144.1640625],[8655.1376953125]
[827255619584.0],[394112991232.0]
[3830.86865234375],[3124.2255859375]
[26361.900390625],[49389.9296875]
[484.39996337890625],[352.638427734375]
[10.399998664855957],[10.333512306213379]
[2122827431936.0],[573706731520.0]
[233123.25],[204314.5625]
[20348.005859375],[18228.392578125]
[188885.3125],[370537.1875]
[257056571392.0],[11278864384.0]
[13144.1640625],[10238.1796875]
[0.009999999776482582],[0.006123852450400591]
[6455939584.0],[24645877760.0]
[3.200000047683716],[6.38992166519165]
[5760001.0],[4007182.75]
[827255619584.0],[326365544448.0]
[25.000001907348633],[52.50374984741211]
[13168.6181640625],[16186.1728515625]
[3.472097330445379e+23],[2.5232635406258385e+24]
[12.380000114440918],[16.03451156616211]
[512.0],[461.4438171386719]
[11.600001335144043],[12.723104476928711]
[159038.109375],[82133.40625]
[2843.6796875],[6909.81591796875]
[459.4999694824219],[393.651611328125]
[1.600000023841858],[2.606243848800659]
[12.0],[9.395037651062012]
[62494517231616.0],[34103898406912.0]
[983703232.0],[1174953984.0]
[4403693568.0],[5100857344.0]
[155292.671875],[169270.0]
[200.00001525878906],[159.67799377441406]
[6455939584.0],[6505879040.0]
[11954.5517578125],[9062.1201171875]
[29717.31640625],[27382.775390625]
[542.9698486328125],[632.7760620117188]
[126057889792.0],[107071930368.0]
[13144.1640625],[15354.4287109375]
[63.60000991821289],[102.0252456665039]
[233591.9375],[673008.1875]
[236.54000854492188],[630.5908203125]
[379.2299499511719],[241.6289825439453]
[459.4999694824219],[631.2255859375]
[11954.5517578125],[17109.16796875]
[64.0],[72.48907470703125]
[640000.0625],[1941120.625]
[346.9999694824219],[103.60226440429688]
[22494160.0],[13062945.0]
[6.15000057220459],[5.470489501953125]
[39278764.0],[389443584.0]
[22451852.0],[48023660.0]
[26361.900390625],[33712.625]
[0.4000000059604645],[2.3297066688537598]
[3999.99853515625],[3047.412109375]
[3927874.5],[3686182.5]
[9837033291776.0],[22084535189504.0]
[2.51828312114987e+17],[1.2515436775289651e+17]
[175723.296875],[187211.75]
[22548800.0],[63340712.0]
[0.12999998033046722],[0.08251979202032089]
[13144.1640625],[10620.5888671875]
[2631938816.0],[1305351808.0]
[25.000001907348633],[28.782085418701172]
[11.600001335144043],[7.692382335662842]
[32000.00390625],[79854.609375]
[174.99998474121094],[243.1234588623047]
[927817.25],[906216.375]
[22451852.0],[27670664.0]
[0.009999999776482582],[0.009683633223176003]
[1246.6197509765625],[1029.8128662109375]
[221168.828125],[184479.34375]
[0.009999999776482582],[0.19386447966098785]
[24.92999839782715],[41.89055633544922]
[630289465344.0],[394520625152.0]
[313613.0625],[243197.109375]
[59022199750656.0],[122276435460096.0]
[3714.6591796875],[10568.7568359375]
[1.600000023841858],[2.482468366622925]
[662.0400390625],[991.4159545898438]
[3714297102336.0],[11885615251456.0]
[2122827431936.0],[272208461824.0]
[37146632.0],[30113720.0]
[983703232.0],[2006589824.0]
[26361.900390625],[35081.16796875]
[11954.5517578125],[15419.8017578125]
[615.5999755859375],[911.0511474609375]
[189144.34375],[169701.25]
[550.4098510742188],[450.81231689453125]
[0.4000000059604645],[3.0602099895477295]
[11405331456.0],[30151524352.0]
[1.055675250057943e+31],[2.4769128034521663e+30]
[0.4000000059604645],[0.266417533159256]
[5429.69873046875],[7707.42724609375]
[1.600000023841858],[1.7810955047607422]
[0.12999998033046722],[0.20115473866462708]
[13144.1640625],[16267.9443359375]
[453504.84375],[628010.5625]
[212.0000457763672],[124.6163330078125]
[1.0372924766683136e+16],[7.716333090032845e+16]
[0.4000000059604645],[0.5649329423904419]
[13806.201171875],[6631.67724609375]
[1240143.75],[777716.5625]
[4951.998046875],[6571.8974609375]
[64.0],[61.824073791503906]
[0.4000000059604645],[0.4833252727985382]
[175723.296875],[340719.34375]
[11954.5517578125],[11128.923828125]
[0.4000000059604645],[0.5957338809967041]
[1.1238302136422892e+18],[9.55826128844279e+18]
[25.000001907348633],[29.3405818939209]
[25.000001907348633],[7.687148094177246]
[325352.6875],[155180.609375]
[175723.296875],[251179.421875]
[6455939584.0],[1746150912.0]
[983703232.0],[943155328.0]
[25.000001907348633],[24.301837921142578]
[88064.7890625],[125678.4296875]
[255231.046875],[157858.5625]
[332508.375],[1781549.25]
[13144.1640625],[6612.755859375]
[8.689998626708984],[9.787109375]
[321.99993896484375],[300.4613037109375]
[12.0],[12.160367012023926]
[37146.6484375],[65223.5]
[0.4000000059604645],[0.943700909614563]
[0.14000000059604645],[4.552496433258057]
[12.0],[10.66723918914795]
[270.48004150390625],[286.2611999511719]
[1.600000023841858],[4.025496959686279]
[170874.578125],[217262.640625]
[221168.828125],[150652.109375]
[13168.6181640625],[16272.3828125]
[2.0],[1.5469722747802734]
[512.0],[572.7408447265625]
[26207954.0],[93024672.0]
[0.009999999776482582],[0.03347282111644745]
[13144.1640625],[10728.3837890625]
[3980788992.0],[2996192512.0]
[9.595417777249557e+26],[1.7474895808930238e+27]
[1.600000023841858],[1.2202272415161133]
[321.99993896484375],[168.80128479003906]
[159951.203125],[110313.65625]
[0.03999999910593033],[0.46124279499053955]
[29717.31640625],[37783.83203125]
[11954.5517578125],[6721.921875]
[6455939584.0],[18334310400.0]
[64.0],[93.08686828613281]
[13168.6181640625],[6794.94091796875]
[927817.25],[857833.0]
[13719.025390625],[5381.9345703125]
[20209.40234375],[41079.1015625]
[662.0400390625],[501.1636962890625]
[3608.060302734375],[4382.53515625]
[6.597991644492523e+24],[2.770260082687813e+25]
[6094.86767578125],[11343.1630859375]
[9219.841796875],[6860.35302734375]
[0.4000000059604645],[0.9810975193977356]
[704518.625],[929973.5]
[17964000.0],[23847780.0]
[51.79999542236328],[47.33451461791992]
[179436.0625],[107336.296875]
[359.4100036621094],[318.012939453125]
[3714.669921875],[4301.88232421875]
[155292.671875],[107919.609375]
[321.99993896484375],[212.8088836669922]
[6.15000057220459],[25.56169891357422]
[26361.900390625],[144038.40625]
[0.4000000059604645],[1.2105127573013306]
[815267.75],[766848.125]
[3927874.5],[5207604.5]
[34.75],[42.90985870361328]
[25.000001907348633],[38.04579544067383]
[159009.0],[149771.109375]
[209214.203125],[320239.25]
[5.739999771118164],[4.14518404006958]
[99.739990234375],[58.02829360961914]
[37888867696640.0],[160051419414528.0]
[175723.296875],[397476.0625]
[459.4999694824219],[318.78558349609375]
[11.600001335144043],[13.275561332702637]
[1573923112091648.0],[1472945612390400.0]
[397.0],[160.99758911132812]
[421109628928.0],[343390388224.0]
[26361.900390625],[36495.51953125]
[24.92999839782715],[26.53997802734375]
[1.0],[226.0652313232422]
[343.5999450683594],[327.4038391113281]
[662.0400390625],[939.7962036132812]
[37146632.0],[82782528.0]
[8918317056.0],[4038952704.0]
[22248.009765625],[19568.169921875]
[35999.98828125],[38185.3828125]
[3714.669921875],[8288.1103515625]
[2932.290283203125],[2018.767333984375]
[19.160001754760742],[26.426576614379883]
[704518.625],[630730.125]
[289980.78125],[526051.25]
[0.4000000059604645],[0.7275115847587585]
[379.2299499511719],[333.2761535644531]
[0.4000000059604645],[1.3240556716918945]
[25.000001907348633],[30.51209831237793]
[175723.296875],[70319.9921875]
[3959.0],[4334.220703125]
[3938180352.0],[8430240256.0]
[2.0],[3.0562727451324463]
[1.0],[7777.29150390625]
[0.4000000059604645],[0.8224472999572754]
[11954.5517578125],[25160.53125]
[117483142905856.0],[154832144957440.0]
[1.2316201847657274e+27],[2.134731195653405e+26]
[25.000001907348633],[23.51218605041504]
[14090373.0],[8710806.0]
[0.4000000059604645],[0.5646128058433533]
[4918516224.0],[1207490304.0]
[129.72996520996094],[125.6056900024414]
[13168.6181640625],[10961.6318359375]
[827258765312.0],[332053708800.0]
[159240.875],[329605.65625]
[26361.900390625],[41720.87109375]
[2.0],[2.2189879417419434]
[26361.900390625],[22468.998046875]
[126057889792.0],[25394827264.0]
[250.00003051757812],[469.5325927734375]
[392.6199951171875],[346.5394592285156]
[662.0400390625],[676.765869140625]
[13995.8271484375],[2477.94775390625]
[176668.484375],[250708.671875]
[64.0],[125.6443862915039]
[0.019999999552965164],[0.35900214314460754]
[100.00000762939453],[107.8573989868164]
[37018400.0],[42720380.0]
[2631938816.0],[1520048128.0]
[504231100416.0],[84595277824.0]
[13995.8271484375],[1614.46630859375]
[43206644.0],[237306352.0]
[353111.4375],[379332.90625]
[6688598392832.0],[2307980263424.0]
[445.9999694824219],[319.58660888671875]
[70905360.0],[61282420.0]
[130.13002014160156],[116.61053466796875]
[321.99993896484375],[330.6529235839844]
[9786587.0],[15236023.0]
[196614.671875],[18925.25]
[176170.3125],[66595.15625]
[1.3695846689066189e+17],[1.6538378022630195e+17]
[13144.1640625],[1334.5343017578125]
[1113464.625],[1407171.375]
[333834.9375],[866190.125]
[6455939584.0],[5115891712.0]
[233123.25],[237007.453125]
[24303854.0],[104971576.0]
[1516641845248.0],[37094862848.0]
[827255619584.0],[5603604299776.0]
[827258765312.0],[1404573188096.0]
[674675.125],[324305.9375]
[17272344576.0],[21165948928.0]
[397.0],[203.4157257080078]
[182770.90625],[533851.4375]
[806135595008.0],[752399155200.0]
[411393.78125],[48101.32421875]
[1412673.5],[1628438.375]
[13168.6181640625],[6573.01953125]
[453504.84375],[550731.0]
[13144.1640625],[956.3504028320312]
[299373.28125],[12533.580078125]
[24320130.0],[7905928.0]
[11.600001335144043],[9.555295944213867]
[12.399998664855957],[13.128997802734375]
[6959.13037109375],[2670.989990234375]
[799950700544.0],[1491258572800.0]
[11.600001335144043],[0.7032157778739929]
[11.600001335144043],[0.5141977071762085]
[14009.4345703125],[5422.0146484375]
[12.0],[12.090286254882812]
[343.5999450683594],[315.61187744140625]
[405.27996826171875],[18.353443145751953]
[2036322.75],[251679.84375]
[29720440832.0],[51287416832.0]
[127759592.0],[90692624.0]
[206375.671875],[247679.390625]
[11.600001335144043],[12.508049964904785]
[36726748.0],[40019868.0]
[229637.296875],[485070.0625]
[482993.3125],[51598.69140625]
[14269.43359375],[8709.9873046875]
[155292.671875],[4404.482421875]
[343.5999450683594],[96.69293975830078]
[471038.6875],[65772.3046875]
[471038.6875],[517659.03125]
[13806.201171875],[7713.83935546875]
[299373.28125],[6378.0107421875]
